Country_Code,Year,WB_Pubs
IDB,2000,3353.72305564395
IDB,1999,3288.49216334774
IDB,1998,3154.90602530175
IDB,1997,3176.31000110049
IDB,1996,2980.64365598338
IDX,2022,31091.23
IDX,2021,29113.28
IDX,2020,22434.97
IDX,2019,18986.97
IDX,2018,14828.15
IDX,2017,13022.91
IDX,2016,11353.6
IDX,2015,9610.99
IDX,2014,9209.98
IDX,2013,8047.38
IDX,2012,7603.96
IDX,2011,6674.00921477428
IDX,2010,6177.90701609668
IDX,2009,5416.43149973835
IDX,2008,4978.42641184379
IDX,2007,4611.18992710017
IDX,2006,4050.15790765127
IDX,2005,3540.09679147611
IDX,2004,3115.10827083992
IDX,2003,2846.09743379553
IDX,2002,2477.20312756952
IDX,2001,2375.721939639
IDX,2000,2315.38601570815
IDX,1999,2343.83270197096
IDX,1998,2259.33348184345
IDX,1997,2210.47573634938
IDX,1996,2018.61692221971
IDA,2022,70270.94
IDA,2021,66423.41
IDA,2020,52939.95
IDA,2019,45569.08
IDA,2018,36357.63
IDA,2017,31978.11
IDA,2016,27678.24
IDA,2015,23977.82
IDA,2014,22735.88
IDA,2013,20710.3
IDA,2012,19390.46
IDA,2011,18311.2131725059
IDA,2010,16855.3872510221
IDA,2009,14974.3451941346
IDA,2008,13063.0209778162
IDA,2007,11818.6132225372
IDA,2006,10427.0301677851
IDA,2005,9198.09129448017
IDA,2004,7782.12098541728
IDA,2003,7029.3837671697
IDA,2002,6428.85006409767
IDA,2001,6092.96637173085
IDA,2000,5667.29369555419
IDA,1999,5630.0185957941
IDA,1998,5411.95020996069
IDA,1997,5385.03048772378
IDA,1996,4998.10381007525
LTE,2022,1242762.03206264
LTE,2021,1133413.89740208
LTE,2020,1009470.16566363
LTE,2019,937044.285233225
LTE,2018,821454.457351206
LTE,2017,737323.157465954
LTE,2016,689053.739754857
LTE,2015,638066.414613411
LTE,2014,602036.283885207
LTE,2013,557309.499644841
LTE,2012,521986.266947173
LTE,2011,504911.459697802
LTE,2010,478475.428152264
LTE,2009,441404.233235191
LTE,2008,392518.739352123
LTE,2007,341094.004337048
LTE,2006,312389.241544184
LTE,2005,277430.866155048
LTE,2004,224261.975650182
LTE,2003,183118.16601894
LTE,2002,166801.392007692
LTE,2001,156897.111065808
LTE,2000,132076.164601958
LTE,1999,119404.329344685
LTE,1998,118149.200658803
LTE,1997,108545.131356291
LTE,1996,103068.537464338
LCN,2022,130281.860852255
LCN,2021,139629.316272165
LCN,2020,131508.497489413
LCN,2019,121991.346207811
LCN,2018,113889.334699102
LCN,2017,106042.13723115
LCN,2016,100110.268948407
LCN,2015,94686.3472027181
LCN,2014,92552.0969436055
LCN,2013,87228.8877000021
LCN,2012,84087.4223372956
LCN,2011,77631.8630565786
LCN,2010,73523.4395653715
LCN,2009,68714.9030366593
LCN,2008,63908.8297356486
LCN,2007,56453.2693723567
LCN,2006,53417.5289492621
LCN,2005,43748.7151694721
LCN,2004,38911.3605895089
LCN,2003,35617.0824217297
LCN,2002,33235.3541688949
LCN,2001,29527.8156477329
LCN,2000,27559.3813639644
