Country_Code,Year,Total_Docs_OA
UKR,2003,6859
EGY,2003,6149
CHL,2003,5723
IRN,2003,5202
THA,2003,4163
COL,2003,3980
ROU,2003,3802
SVN,2003,3796
SVK,2003,3725
BGR,2003,3199
HRV,2003,3172
MYS,2003,2947
TUN,2003,2734
VEN,2003,2680
SRB,2003,2652
NGA,2003,2584
IDN,2003,2420
CUB,2003,2400
SAU,2003,2269
PAK,2003,2176
MAR,2003,2123
BLR,2003,1935
VNM,2003,1819
PER,2003,1625
LTU,2003,1617
DZA,2003,1528
KEN,2003,1513
PRI,2003,1286
EST,2003,1190
PHL,2003,1151
BGD,2003,1135
LVA,2003,1023
ETH,2003,949
CRI,2003,906
JOR,2003,883
ARE,2003,881
KWT,2003,813
TZA,2003,809
UGA,2003,781
URY,2003,772
NPL,2003,762
LBN,2003,757
GHA,2003,706
ARM,2003,674
LKA,2003,673
CYP,2003,653
CMR,2003,643
ISL,2003,617
LUX,2003,587
UZB,2003,556
QAT,2003,551
SEN,2003,539
KAZ,2003,496
BOL,2003,483
OMN,2003,461
SSD,2003,416
CIV,2003,402
AZE,2003,394
PAN,2003,385
ZWE,2003,376
MKD,2003,371
MMR,2003,370
GEO,2003,362
